# N	Err_PLAIN	Err_MISER	Err_VEGAS
100	0.924217	0.440315	0.0111923
500	0.0408918	0.155995	0.0012799
1000	0.0308125	0.151401	0.00183097
5000	0.00419899	0.0230219	6.83721e-05
10000	0.00963239	0.0017292	3.04309e-05
50000	0.00587912	0.000194135	1.8715e-05
100000	0.00279606	0.00155306	5.50398e-06
500000	7.51201e-05	0.00028492	5.83503e-06
