# N	Err_PLAIN	Err_MISER	Err_VEGAS
100	0.125697	0.00375763	0.000349283
500	0.00840667	0.00688162	5.54945e-05
1000	0.00440497	0.0100951	3.76289e-06
5000	0.00664251	0.000864997	1.78762e-07
10000	0.00204004	0.000125077	2.26476e-07
50000	0.000262436	3.18829e-05	7.55155e-08
100000	0.000274868	2.05815e-06	1.77458e-08
500000	8.77743e-05	3.41272e-06	1.27107e-09
