# N	Err_PLAIN	Err_MISER	Err_VEGAS
100	0.00198111	0.00970492	0.000204453
500	0.00492383	0.00385668	7.05998e-06
1000	0.000468951	0.00433498	5.36998e-06
5000	0.00150732	9.66434e-05	3.05411e-07
10000	0.00145758	0.000376853	1.72261e-07
50000	0.00154474	3.648e-05	7.71032e-09
100000	0.000594794	3.4038e-05	7.318e-09
500000	2.15359e-05	2.73697e-07	4.25993e-10
