N DecompTime SolveTime Error
10 0.000169 0.000012 5.368713e-13
100 0.000649 0.000034 2.469876e-12
200 0.003588 0.000082 4.950023e-11
300 0.008095 0.000232 2.920606e-11
400 0.016323 0.000231 9.975233e-11
500 0.030026 0.000338 1.109558e-10
600 0.046883 0.000466 2.606651e-10
700 0.073281 0.000650 8.174503e-10
800 0.106240 0.000824 3.171371e-10
900 0.148139 0.001099 1.852945e-10
1000 0.217237 0.001281 1.544608e-09
